"189062;""20300"";""MBG0095"";""BU0363AC02"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC02"";""19.9"""
"189063;""20300"";""MBG0095"";""BU0363AC02"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC02"";""29.3"""
"189064;""20300"";""MBG0095"";""BU0363AC02"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC02"";""24.4"""
"189067;""20300"";""MBG0095"";""BU0363AC03"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC03"";""21.7"""
"189068;""20300"";""MBG0095"";""BU0363AC03"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC03"";""28.2"""
"189069;""20300"";""MBG0095"";""BU0363AC03"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC03"";""25.2"""
"189072;""20300"";""MBG0095"";""BU0363AC04"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC04"";""21.3"""
"189073;""20300"";""MBG0095"";""BU0363AC04"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC04"";""30.8"""
"189074;""20300"";""MBG0095"";""BU0363AC04"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC04"";""26.7"""
"189077;""20300"";""MBG0095"";""WK0363AD  "";""2020JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AD  "";""30.4"""
"189078;""20300"";""MBG0095"";""WK0363AD  "";""2022JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AD  "";""36.9"""
"189079;""20300"";""MBG0095"";""WK0363AD  "";""2024JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AD  "";""29.7"""
"189082;""20300"";""MBG0095"";""BU0363AD01"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AD01"";"
"189083;""20300"";""MBG0095"";""BU0363AD01"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AD01"";"
"189084;""20300"";""MBG0095"";""BU0363AD01"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AD01"";"
"189087;""20300"";""MBG0095"";""BU0363AD02"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AD02"";""32.9"""
